,Unnamed: 0,MPO,SURVEY,SAMPN,DAY,CTFIP,HHVEH,HHSIZ,INCOM,HHWRK,WGTHH,Weight2,IncomeBracket,Autos,Workers,HouseholdSize
10631,10631,2,2,5002370,4,18089,2,2,5,2,,241.2362,60k-100k,2,2,2
10632,10632,2,1,5002373,5,18089,2,2,3,0,,25.45855,35k-60k,2,0,2
10633,10633,2,2,5002410,1,18089,1,1,6,1,,151.377715,60k-100k,1,1,1
10634,10634,2,2,5002446,1,18091,1,1,9,0,,7.884305,0-35k,1,0,1
10635,10635,2,1,5002475,2,18089,2,1,1,1,,62.99679,0-35k,2,1,1
10636,10636,2,2,5002490,4,18089,2,2,7,1,,9.01204,100k+,2,1,2
10637,10637,2,1,5002519,2,18127,2,2,9,0,,53.7397,0-35k,2,0,2
10638,10638,2,1,5002532,4,18089,1,2,6,0,,13.45144,60k-100k,1,0,2
10639,10639,2,1,5002547,1,18089,1,1,4,1,,35.63875,35k-60k,1,1,1
10640,10640,2,1,5002565,2,18089,4,2,5,1,,18.84869,60k-100k,4+,1,2
10641,10641,2,1,5002568,3,18089,1,1,1,1,,62.99679,0-35k,1,1,1
10642,10642,2,1,5002595,2,18089,1,2,2,1,,53.7397,0-35k,1,1,2
10643,10643,2,1,5002602,2,18089,2,3,3,3,,164.85744,35k-60k,2,3+,3
10644,10644,2,2,5002615,4,18089,4,4,7,3,,36.45082,100k+,4+,3+,4+
10645,10645,2,1,5002630,3,18089,3,3,9,2,,69.75131999999999,0-35k,3,2,3
10646,10646,2,2,5002647,2,18127,2,4,6,2,,45.51971,60k-100k,2,2,4+
10647,10647,2,2,5002695,2,18089,3,4,7,1,,27.34093,100k+,3,1,4+
10648,10648,2,1,5002699,2,18127,1,1,1,0,,62.99679,0-35k,1,0,1
10649,10649,2,1,5002708,3,18089,2,2,1,0,,64.17399,0-35k,2,0,2
10650,10650,2,1,5002718,2,18089,1,2,3,0,,30.40172,35k-60k,1,0,2
10651,10651,2,2,5002746,4,18089,4,3,7,3,,34.87566,100k+,4+,3+,3
